,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_022060485,S,R,R,R,R,R,I,I,R,S,S,S,,R,R,S,
GCA_022060525,R,,R,R,R,R,R,S,R,S,R,S,,R,R,S,
GCA_022060545,R,,R,S,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022060565,R,R,R,R,R,R,S,R,I,S,R,S,,R,R,S,
GCA_022060585,R,R,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022060605,R,,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022060625,R,,R,R,R,R,R,I,S,S,R,S,,R,R,S,S
GCA_022060645,S,R,R,R,R,R,I,I,R,S,S,S,,R,R,S,S
GCA_022060665,R,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022060685,S,,R,R,R,R,I,S,R,S,S,S,,R,R,S,S
GCA_022060705,R,R,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022060725,S,R,R,R,R,R,S,R,I,S,I,S,,R,R,S,I
GCA_022060745,S,R,R,R,R,R,S,R,I,S,S,S,,R,R,S,I
GCA_022060765,S,,R,S,R,R,R,R,S,S,R,S,,R,R,S,I
GCA_022060785,S,R,I,R,R,R,R,S,S,I,R,S,,R,R,S,I
GCA_022060805,S,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022060825,R,R,R,S,R,R,R,S,R,S,R,S,,R,R,S,R
GCA_022060845,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022060865,R,,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022060885,S,R,R,R,R,R,R,R,R,I,R,S,,R,R,S,S
GCA_022060905,R,R,R,R,R,R,I,R,S,S,R,S,,R,R,S,R
GCA_022061045,R,R,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022061065,S,I,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022061085,R,R,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022061125,R,,R,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022061145,S,R,I,R,R,R,R,I,S,I,R,S,,R,R,S,S
GCA_022061165,S,,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022061185,R,I,,R,R,R,R,S,R,S,S,S,,R,R,S,S
GCA_022061205,S,,R,R,R,S,S,R,R,S,S,S,,R,R,S,R
GCA_022061225,S,I,R,R,R,I,S,S,R,S,S,S,,R,R,S,S
GCA_022061245,S,,R,R,R,S,S,R,R,S,S,S,,R,R,S,R
GCA_022061265,S,R,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022061285,S,,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022061305,S,R,R,R,R,R,R,I,S,S,S,S,,R,R,S,S
GCA_022061345,S,,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022061365,R,,I,R,R,R,R,I,S,S,R,S,,R,R,S,S
GCA_022061385,S,,R,S,R,R,R,R,S,S,R,S,,R,R,S,I
GCA_022061405,S,,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022061425,S,S,R,S,I,S,S,R,R,S,S,S,,R,S,S,S
GCA_022061445,S,,R,R,R,R,S,R,R,S,R,R,,R,R,R,R
GCA_022061485,R,I,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022061505,R,,R,R,R,R,R,I,R,S,R,S,,R,R,S,S
GCA_022061525,S,R,R,R,R,R,R,R,S,R,R,R,,R,R,R,R
GCA_022061545,S,,R,R,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022061565,R,R,R,R,R,R,R,R,R,S,R,S,,R,R,S,R
GCA_022061585,R,R,R,R,R,R,R,R,R,S,R,I,,R,R,S,R
